Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Hmi-ABas_001-Ex1-01A.clmp.fp2_r1_screen	27596.0	4153.0	3738.0	3204.0	1413.0	452.0	396.0	91.0	14.0	0.0	228840.0	1475879.0
Hmi-ABas_001-Ex1-01A.clmp.fp2_r2_screen	27543.0	4058.0	3737.0	2778.0	1384.0	480.0	372.0	95.0	15.0	0.0	228737.0	1476577.0
Hmi-ABas_002-Ex1-02A.clmp.fp2_r1_screen	63651.0	35102.0	7187.0	7378.0	2813.0	1223.0	780.0	184.0	8.0	2.0	412094.0	2454504.0
Hmi-ABas_002-Ex1-02A.clmp.fp2_r2_screen	63278.0	34316.0	7603.0	7029.0	2768.0	1132.0	717.0	180.0	8.0	0.0	416973.0	2450922.0
Hmi-ABas_003-Ex1-03A.clmp.fp2_r1_screen	13742.0	2016.0	1716.0	1366.0	479.0	339.0	185.0	34.0	1.0	0.0	103879.0	612013.0
Hmi-ABas_003-Ex1-03A.clmp.fp2_r2_screen	14556.0	1969.0	1723.0	1375.0	576.0	332.0	156.0	35.0	2.0	0.0	104872.0	610174.0
Hmi-ABas_004-Ex1-04A.clmp.fp2_r1_screen	44421.0	109328.0	4644.0	4868.0	1844.0	741.0	507.0	161.0	10.0	0.0	351138.0	2167305.0
Hmi-ABas_004-Ex1-04A.clmp.fp2_r2_screen	43647.0	105719.0	5079.0	4288.0	2123.0	623.0	529.0	159.0	22.0	0.0	353594.0	2169184.0
Hmi-ABas_005-Ex1-05A.clmp.fp2_r1_screen	43023.0	34318.0	5120.0	5455.0	1898.0	567.0	332.0	188.0	44.0	0.0	518314.0	2732808.0
Hmi-ABas_005-Ex1-05A.clmp.fp2_r2_screen	44172.0	33942.0	5424.0	5559.0	1706.0	501.0	429.0	310.0	11.0	0.0	526229.0	2723784.0
Hmi-ABas_006-Ex1-06A.clmp.fp2_r1_screen	41554.0	21615.0	5099.0	5629.0	1992.0	687.0	545.0	220.0	24.0	0.0	357920.0	2220506.0
Hmi-ABas_006-Ex1-06A.clmp.fp2_r2_screen	41994.0	20959.0	4970.0	5567.0	1885.0	708.0	421.0	175.0	9.0	0.0	360987.0	2218116.0
Hmi-ABas_007-Ex1-07A.clmp.fp2_r1_screen	40712.0	12760.0	4612.0	4804.0	1676.0	557.0	520.0	439.0	13.0	0.0	342122.0	2249434.0
Hmi-ABas_007-Ex1-07A.clmp.fp2_r2_screen	41066.0	12258.0	5190.0	5378.0	1759.0	482.0	396.0	107.0	21.0	0.0	343153.0	2247839.0
Hmi-ABas_008-Ex1-08A.clmp.fp2_r1_screen	46338.0	45296.0	4952.0	4141.0	1889.0	610.0	650.0	125.0	16.0	0.0	393130.0	2241952.0
Hmi-ABas_008-Ex1-08A.clmp.fp2_r2_screen	43932.0	44827.0	4752.0	4385.0	1848.0	560.0	488.0	181.0	21.0	0.0	401357.0	2236748.0
Hmi-ABas_009-Ex1-09A.clmp.fp2_r1_screen	74895.0	97846.0	8395.0	8093.0	3479.0	1236.0	858.0	331.0	12.0	0.0	639396.0	3827698.0
Hmi-ABas_009-Ex1-09A.clmp.fp2_r2_screen	75526.0	94562.0	8029.0	8728.0	3555.0	1007.0	854.0	315.0	8.0	0.0	653147.0	3816508.0
