"","Position","C.T","G.A"
"1",1,0.319440943789149,0.214735768438201
"2",2,0.340829097165149,0.239026485794298
"3",3,0.346047063064112,0.272615614095602
"4",4,0.349364832694686,0.299383524815252
"5",5,0.359593370282197,0.311808883783007
"6",6,0.37095863808161,0.318221917112098
"7",7,0.379626512551788,0.324002367998567
"8",8,0.383203198179637,0.33274384447042
"9",9,0.384741341395085,0.341426100980421
"10",10,0.38470187325235,0.349920430040547
"11",11,0.385367122609632,0.356064503866429
"12",12,0.388217986819815,0.358617174906878
"13",-12,0.363617923065736,0.383232355124726
"14",-11,0.360037193686453,0.38132883835113
"15",-10,0.355054928489217,0.37959316477245
"16",-9,0.348325798988182,0.378060981403267
"17",-8,0.34100755784491,0.375354312676552
"18",-7,0.332662701619253,0.371468355197013
"19",-6,0.326056371263296,0.363486788577674
"20",-5,0.319646576786502,0.352068997128206
"21",-4,0.309382215015467,0.339908934346431
"22",-3,0.288187160884028,0.332085992380379
"23",-2,0.259240637919098,0.323711679188494
"24",-1,0.235121792294399,0.302152559174024
