POP	INDV
Sgr-AJol	Sgr-AJol_001
Sgr-AJol	Sgr-AJol_002
Sgr-AJol	Sgr-AJol_003
Sgr-AJol	Sgr-AJol_004
Sgr-AJol	Sgr-AJol_005
Sgr-AJol	Sgr-AJol_006
Sgr-AJol	Sgr-AJol_007
Sgr-AJol	Sgr-AJol_008
Sgr-AJol	Sgr-AJol_009
Sgr-AJol	Sgr-AJol_010
Sgr-AJol	Sgr-AJol_011
Sgr-AJol	Sgr-AJol_012
Sgr-AJol	Sgr-AJol_013
Sgr-AJol	Sgr-AJol_014
Sgr-AJol	Sgr-AJol_015
Sgr-AJol	Sgr-AJol_016
Sgr-AJol	Sgr-AJol_017
Sgr-AJol	Sgr-AJol_018
Sgr-AJol	Sgr-AJol_020
Sgr-AJol	Sgr-AJol_021
Sgr-AJol	Sgr-AJol_022
Sgr-AJol	Sgr-AJol_023
Sgr-AJol	Sgr-AJol_024
Sgr-AJol	Sgr-AJol_025
Sgr-AJol	Sgr-AJol_026
Sgr-AJol	Sgr-AJol_027
Sgr-AJol	Sgr-AJol_028
Sgr-AJol	Sgr-AJol_029
Sgr-AJol	Sgr-AJol_030
Sgr-AJol	Sgr-AJol_031
Sgr-AJol	Sgr-AJol_032
Sgr-AJol	Sgr-AJol_034
Sgr-AJol	Sgr-AJol_035
Sgr-AJol	Sgr-AJol_036
Sgr-AJol	Sgr-AJol_037
Sgr-AJol	Sgr-AJol_038
Sgr-AJol	Sgr-AJol_039
Sgr-AJol	Sgr-AJol_041
Sgr-AJol	Sgr-AJol_042
Sgr-AJol	Sgr-AJol_043
Sgr-AJol	Sgr-AJol_044
Sgr-AJol	Sgr-AJol_045
Sgr-AJol	Sgr-AJol_046
Sgr-AJol	Sgr-AJol_047
Sgr-AJol	Sgr-AJol_048
Sgr-AJol	Sgr-AJol_049
Sgr-AJol	Sgr-AJol_050
Sgr-AJol	Sgr-AJol_051
Sgr-AJol	Sgr-AJol_052
Sgr-AJol	Sgr-AJol_053
Sgr-AJol	Sgr-AJol_054
Sgr-AJol	Sgr-AJol_055
Sgr-AJol	Sgr-AJol_056
Sgr-AJol	Sgr-AJol_057
Sgr-AJol	Sgr-AJol_058
Sgr-AJol	Sgr-AJol_059
Sgr-AJol	Sgr-AJol_060
Sgr-AJol	Sgr-AJol_061
Sgr-AJol	Sgr-AJol_062
Sgr-AJol	Sgr-AJol_063
Sgr-AJol	Sgr-AJol_064
Sgr-AJol	Sgr-AJol_066
Sgr-AJol	Sgr-AJol_067
Sgr-AJol	Sgr-AJol_068
Sgr-AJol	Sgr-AJol_069
Sgr-AJol	Sgr-AJol_070
Sgr-AJol	Sgr-AJol_071
Sgr-AJol	Sgr-AJol_072
Sgr-AJol	Sgr-AJol_073
Sgr-AJol	Sgr-AJol_074
Sgr-AJol	Sgr-AJol_075
Sgr-AJol	Sgr-AJol_076
Sgr-AJol	Sgr-AJol_077
Sgr-AJol	Sgr-AJol_078
Sgr-AJol	Sgr-AJol_079
Sgr-AJol	Sgr-AJol_080
Sgr-AJol	Sgr-AJol_081
Sgr-AJol	Sgr-AJol_082
Sgr-AJol	Sgr-AJol_083
Sgr-AJol	Sgr-AJol_084
Sgr-AJol	Sgr-AJol_085
Sgr-AJol	Sgr-AJol_086
Sgr-AJol	Sgr-AJol_087
Sgr-AJol	Sgr-AJol_088
Sgr-AJol	Sgr-AJol_089
Sgr-AJol	Sgr-AJol_090
Sgr-AJol	Sgr-AJol_091
Sgr-AJol	Sgr-AJol_092
Sgr-AJol	Sgr-AJol_093
Sgr-AJol	Sgr-AJol_094
Sgr-AJol	Sgr-AJol_095
Sgr-AJol	Sgr-AJol_096
Sgr-AMvi	Sgr-AMvi_001
Sgr-AMvi	Sgr-AMvi_002
Sgr-AMvi	Sgr-AMvi_003
Sgr-AMvi	Sgr-AMvi_004
Sgr-AMvi	Sgr-AMvi_005
Sgr-AMvi	Sgr-AMvi_006
Sgr-AMvi	Sgr-AMvi_009
Sgr-AMvi	Sgr-AMvi_011
Sgr-AMvi	Sgr-AMvi_012
Sgr-AMvi	Sgr-AMvi_013
Sgr-AMvi	Sgr-AMvi_014
Sgr-AMvi	Sgr-AMvi_015
Sgr-AMvi	Sgr-AMvi_018
Sgr-AMvi	Sgr-AMvi_019
Sgr-AMvi	Sgr-AMvi_020
Sgr-AMvi	Sgr-AMvi_022
Sgr-AMvi	Sgr-AMvi_023
Sgr-AMvi	Sgr-AMvi_025
Sgr-AMvi	Sgr-AMvi_027
Sgr-AMvi	Sgr-AMvi_029
Sgr-AMvi	Sgr-AMvi_030
Sgr-AMvi	Sgr-AMvi_031
Sgr-AMvi	Sgr-AMvi_032
Sgr-AMvi	Sgr-AMvi_033
Sgr-AMvi	Sgr-AMvi_034
Sgr-AMvi	Sgr-AMvi_035
Sgr-AMvi	Sgr-AMvi_036
Sgr-AMvi	Sgr-AMvi_037
Sgr-AMvi	Sgr-AMvi_038
Sgr-AMvi	Sgr-AMvi_039
Sgr-AMvi	Sgr-AMvi_041
Sgr-AMvi	Sgr-AMvi_042
Sgr-AMvi	Sgr-AMvi_043
Sgr-AMvi	Sgr-AMvi_044
Sgr-AMvi	Sgr-AMvi_045
Sgr-AMvi	Sgr-AMvi_046
Sgr-AMvi	Sgr-AMvi_047
Sgr-AMvi	Sgr-AMvi_048
Sgr-AMvi	Sgr-AMvi_049
Sgr-AMvi	Sgr-AMvi_050
Sgr-AMvi	Sgr-AMvi_051
Sgr-AMvi	Sgr-AMvi_052
Sgr-AMvi	Sgr-AMvi_053
Sgr-AMvi	Sgr-AMvi_054
Sgr-AMvi	Sgr-AMvi_055
Sgr-AMvi	Sgr-AMvi_056
Sgr-AMvi	Sgr-AMvi_057
Sgr-AMvi	Sgr-AMvi_058
Sgr-AMvi	Sgr-AMvi_059
Sgr-AMvi	Sgr-AMvi_060
Sgr-AMvi	Sgr-AMvi_061
Sgr-AMvi	Sgr-AMvi_062
Sgr-AMvi	Sgr-AMvi_063
Sgr-AMvi	Sgr-AMvi_064
Sgr-AMvi	Sgr-AMvi_065
Sgr-AMvi	Sgr-AMvi_066
Sgr-AMvi	Sgr-AMvi_067
Sgr-AMvi	Sgr-AMvi_068
Sgr-AMvi	Sgr-AMvi_069
Sgr-AMvi	Sgr-AMvi_070
Sgr-AMvi	Sgr-AMvi_071
Sgr-AMvi	Sgr-AMvi_072
Sgr-AMvi	Sgr-AMvi_073
Sgr-AMvi	Sgr-AMvi_074
Sgr-AMvi	Sgr-AMvi_075
Sgr-AMvi	Sgr-AMvi_076
Sgr-AMvi	Sgr-AMvi_077
Sgr-AMvi	Sgr-AMvi_078
Sgr-AMvi	Sgr-AMvi_079
Sgr-AMvi	Sgr-AMvi_080
Sgr-AMvi	Sgr-AMvi_081
Sgr-AMvi	Sgr-AMvi_082
Sgr-AMvi	Sgr-AMvi_083
Sgr-AMvi	Sgr-AMvi_084
Sgr-AMvi	Sgr-AMvi_085
Sgr-AMvi	Sgr-AMvi_086
Sgr-AMvi	Sgr-AMvi_087
Sgr-AMvi	Sgr-AMvi_088
Sgr-AMvi	Sgr-AMvi_089
Sgr-AMvi	Sgr-AMvi_090
Sgr-AMvi	Sgr-AMvi_091
Sgr-AMvi	Sgr-AMvi_092
Sgr-AMvi	Sgr-AMvi_093
Sgr-AMvi	Sgr-AMvi_094
Sgr-AMvi	Sgr-AMvi_095
Sgr-AMvi	Sgr-AMvi_096
Sgr-APal	Sgr-APal_002
Sgr-APal	Sgr-APal_003
Sgr-APal	Sgr-APal_004
Sgr-APal	Sgr-APal_007
Sgr-APal	Sgr-APal_008
Sgr-APal	Sgr-APal_009
Sgr-APal	Sgr-APal_010
Sgr-APal	Sgr-APal_011
Sgr-APal	Sgr-APal_013
Sgr-APal	Sgr-APal_014
Sgr-APal	Sgr-APal_015
Sgr-APal	Sgr-APal_016
Sgr-APal	Sgr-APal_017
Sgr-APal	Sgr-APal_018
Sgr-APal	Sgr-APal_019
Sgr-APal	Sgr-APal_020
Sgr-APal	Sgr-APal_021
Sgr-APal	Sgr-APal_022
Sgr-APal	Sgr-APal_023
Sgr-APal	Sgr-APal_024
Sgr-APal	Sgr-APal_025
Sgr-APal	Sgr-APal_026
Sgr-APal	Sgr-APal_027
Sgr-APal	Sgr-APal_028
Sgr-APal	Sgr-APal_029
Sgr-APal	Sgr-APal_030
Sgr-APal	Sgr-APal_031
Sgr-APal	Sgr-APal_032
Sgr-APal	Sgr-APal_033
Sgr-APal	Sgr-APal_034
Sgr-APal	Sgr-APal_035
Sgr-APal	Sgr-APal_037
Sgr-APal	Sgr-APal_038
Sgr-APal	Sgr-APal_039
Sgr-APal	Sgr-APal_044
Sgr-APal	Sgr-APal_045
Sgr-APal	Sgr-APal_047
Sgr-CJol	Sgr-CJol_001
Sgr-CJol	Sgr-CJol_002
Sgr-CJol	Sgr-CJol_003
Sgr-CJol	Sgr-CJol_004
Sgr-CJol	Sgr-CJol_006
Sgr-CJol	Sgr-CJol_007
Sgr-CJol	Sgr-CJol_008
Sgr-CJol	Sgr-CJol_009
Sgr-CJol	Sgr-CJol_010
Sgr-CJol	Sgr-CJol_012
Sgr-CJol	Sgr-CJol_017
Sgr-CJol	Sgr-CJol_020
Sgr-CJol	Sgr-CJol_021
Sgr-CJol	Sgr-CJol_023
Sgr-CJol	Sgr-CJol_024
Sgr-CJol	Sgr-CJol_025
Sgr-CJol	Sgr-CJol_028
Sgr-CJol	Sgr-CJol_032
Sgr-CJol	Sgr-CJol_034
Sgr-CJol	Sgr-CJol_035
Sgr-CJol	Sgr-CJol_036
Sgr-CJol	Sgr-CJol_037
Sgr-CJol	Sgr-CJol_041
Sgr-CJol	Sgr-CJol_042
Sgr-CJol	Sgr-CJol_044
Sgr-CJol	Sgr-CJol_046
Sgr-CJol	Sgr-CJol_048
Sgr-CJol	Sgr-CJol_049
Sgr-CJol	Sgr-CJol_051
Sgr-CJol	Sgr-CJol_053
Sgr-CJol	Sgr-CJol_054
Sgr-CJol	Sgr-CJol_056
Sgr-CJol	Sgr-CJol_057
Sgr-CJol	Sgr-CJol_058
Sgr-CJol	Sgr-CJol_059
Sgr-CJol	Sgr-CJol_061
Sgr-CJol	Sgr-CJol_064
Sgr-CJol	Sgr-CJol_066
Sgr-CJol	Sgr-CJol_068
Sgr-CJol	Sgr-CJol_070
Sgr-CJol	Sgr-CJol_072
Sgr-CJol	Sgr-CJol_073
Sgr-CJol	Sgr-CJol_075
Sgr-CJol	Sgr-CJol_076
Sgr-CJol	Sgr-CJol_078
Sgr-CJol	Sgr-CJol_079
Sgr-CJol	Sgr-CJol_080
Sgr-CJol	Sgr-CJol_081
Sgr-CJol	Sgr-CJol_082
Sgr-CJol	Sgr-CJol_084
Sgr-CJol	Sgr-CJol_085
Sgr-CJol	Sgr-CJol_086
Sgr-CJol	Sgr-CJol_087
Sgr-CJol	Sgr-CJol_088
Sgr-CJol	Sgr-CJol_089
Sgr-CJol	Sgr-CJol_090
Sgr-CJol	Sgr-CJol_091
Sgr-CJol	Sgr-CJol_092
Sgr-CJol	Sgr-CJol_093
Sgr-CJol	Sgr-CJol_094
Sgr-CJol	Sgr-CJol_096
Sgr-CMas	Sgr-CMas_001
Sgr-CMas	Sgr-CMas_002
Sgr-CMas	Sgr-CMas_003
Sgr-CMas	Sgr-CMas_004
Sgr-CMas	Sgr-CMas_005
Sgr-CMas	Sgr-CMas_006
Sgr-CMas	Sgr-CMas_007
Sgr-CMas	Sgr-CMas_008
Sgr-CMas	Sgr-CMas_009
Sgr-CMas	Sgr-CMas_010
Sgr-CMas	Sgr-CMas_011
Sgr-CMas	Sgr-CMas_012
Sgr-CMas	Sgr-CMas_013
Sgr-CMas	Sgr-CMas_014
Sgr-CMas	Sgr-CMas_015
Sgr-CMas	Sgr-CMas_016
Sgr-CMas	Sgr-CMas_017
Sgr-CMas	Sgr-CMas_018
Sgr-CMas	Sgr-CMas_019
Sgr-CMas	Sgr-CMas_020
Sgr-CMas	Sgr-CMas_021
Sgr-CMas	Sgr-CMas_022
Sgr-CMas	Sgr-CMas_023
Sgr-CMas	Sgr-CMas_024
Sgr-CMas	Sgr-CMas_026
Sgr-CMas	Sgr-CMas_028
Sgr-CMas	Sgr-CMas_030
Sgr-CMas	Sgr-CMas_031
Sgr-CMas	Sgr-CMas_032
Sgr-CMas	Sgr-CMas_033
Sgr-CMas	Sgr-CMas_034
Sgr-CMas	Sgr-CMas_035
Sgr-CMas	Sgr-CMas_036
Sgr-CMas	Sgr-CMas_038
Sgr-CMas	Sgr-CMas_040
Sgr-CMas	Sgr-CMas_042
Sgr-CMas	Sgr-CMas_043
Sgr-CMas	Sgr-CMas_044
Sgr-CMas	Sgr-CMas_045
Sgr-CMas	Sgr-CMas_046
Sgr-CMas	Sgr-CMas_047
Sgr-CMas	Sgr-CMas_048
Sgr-CMas	Sgr-CMas_049
Sgr-CMas	Sgr-CMas_050
Sgr-CMas	Sgr-CMas_052
Sgr-CMas	Sgr-CMas_054
Sgr-CMas	Sgr-CMas_055
Sgr-CMas	Sgr-CMas_056
Sgr-CMas	Sgr-CMas_057
Sgr-CMas	Sgr-CMas_058
Sgr-CMas	Sgr-CMas_059
Sgr-CMas	Sgr-CMas_061
Sgr-CMas	Sgr-CMas_062
Sgr-CMas	Sgr-CMas_063
Sgr-CMas	Sgr-CMas_065
Sgr-CMas	Sgr-CMas_067
Sgr-CMas	Sgr-CMas_069
Sgr-CMas	Sgr-CMas_071
Sgr-CMas	Sgr-CMas_074
Sgr-CMas	Sgr-CMas_077
Sgr-CMas	Sgr-CMas_083
Sgr-CMas	Sgr-CMas_090
Sgr-CMas	Sgr-CMas_091
Sgr-CMas	Sgr-CMas_092
Sgr-CMvi	Sgr-CMvi_001
Sgr-CMvi	Sgr-CMvi_003
Sgr-CMvi	Sgr-CMvi_004
Sgr-CMvi	Sgr-CMvi_005
Sgr-CMvi	Sgr-CMvi_007
Sgr-CMvi	Sgr-CMvi_008
Sgr-CMvi	Sgr-CMvi_009
Sgr-CMvi	Sgr-CMvi_010
Sgr-CMvi	Sgr-CMvi_012
Sgr-CMvi	Sgr-CMvi_013
Sgr-CMvi	Sgr-CMvi_015
Sgr-CMvi	Sgr-CMvi_016
Sgr-CMvi	Sgr-CMvi_017
Sgr-CMvi	Sgr-CMvi_018
Sgr-CMvi	Sgr-CMvi_019
Sgr-CMvi	Sgr-CMvi_020
Sgr-CMvi	Sgr-CMvi_023
Sgr-CMvi	Sgr-CMvi_024
Sgr-CMvi	Sgr-CMvi_025
Sgr-CMvi	Sgr-CMvi_027
Sgr-CMvi	Sgr-CMvi_028
Sgr-CMvi	Sgr-CMvi_030
Sgr-CMvi	Sgr-CMvi_032
Sgr-CMvi	Sgr-CMvi_033
Sgr-CMvi	Sgr-CMvi_034
Sgr-CMvi	Sgr-CMvi_036
Sgr-CMvi	Sgr-CMvi_038
Sgr-CMvi	Sgr-CMvi_042
Sgr-CMvi	Sgr-CMvi_043
Sgr-CMvi	Sgr-CMvi_044
Sgr-CMvi	Sgr-CMvi_046
Sgr-CMvi	Sgr-CMvi_047
Sgr-CMvi	Sgr-CMvi_049
Sgr-CMvi	Sgr-CMvi_051
Sgr-CMvi	Sgr-CMvi_052
Sgr-CMvi	Sgr-CMvi_053
Sgr-CMvi	Sgr-CMvi_054
Sgr-CMvi	Sgr-CMvi_055
Sgr-CMvi	Sgr-CMvi_057
Sgr-CMvi	Sgr-CMvi_058
Sgr-CMvi	Sgr-CMvi_060
Sgr-CMvi	Sgr-CMvi_061
Sgr-CMvi	Sgr-CMvi_063
Sgr-CMvi	Sgr-CMvi_064
Sgr-CMvi	Sgr-CMvi_065
Sgr-CMvi	Sgr-CMvi_066
Sgr-CMvi	Sgr-CMvi_067
Sgr-CMvi	Sgr-CMvi_070
Sgr-CMvi	Sgr-CMvi_071
Sgr-CMvi	Sgr-CMvi_072
Sgr-CMvi	Sgr-CMvi_074
Sgr-CMvi	Sgr-CMvi_076
Sgr-CMvi	Sgr-CMvi_077
Sgr-CMvi	Sgr-CMvi_083
Sgr-CMvi	Sgr-CMvi_084
Sgr-CMvi	Sgr-CMvi_085
Sgr-CMvi	Sgr-CMvi_086
Sgr-CMvi	Sgr-CMvi_087
Sgr-CMvi	Sgr-CMvi_088
Sgr-CMvi	Sgr-CMvi_089
Sgr-CMvi	Sgr-CMvi_092
