pos	3pG>A
1	0.0068783617783996
2	0.00684162413894867
3	0.00537291788810622
4	0.00606555966617913
5	0.0072008336668722
6	0.00992227010503157
7	0.00918716425861037
8	0.0087510676039682
9	0.00878274115365171
10	0.00889392639790875
11	0.0091378728485761
12	0.00857559749083163
13	0.00862437988418974
14	0.00845880178304938
15	0.00889756321575156
16	0.00876645103725184
17	0.0091774580727338
18	0.00912988716529729
19	0.00923489740091011
20	0.00895325061648785
21	0.00999463178956615
22	0.00934950342131634
23	0.0118419100067602
24	0.00946037726177662
25	0.00924297203092241
