"","Position","C.T","G.A"
"1",1,0.375032521284149,0.366877440092189
"2",2,0.397880456750861,0.392647171430166
"3",3,0.411786976946209,0.417211455475688
"4",4,0.429149782342183,0.431036241246606
"5",5,0.45337490980499,0.432084123428919
"6",6,0.47466588959293,0.430531070048002
"7",7,0.488135790607604,0.433339943407926
"8",8,0.495111449188204,0.44054171400066
"9",9,0.49954751555336,0.448176261655391
"10",10,0.500013451065359,0.458289924047561
"11",11,0.49719999303588,0.470135401298572
"12",12,0.492525220592162,0.482135363649222
"13",-12,0.500310129662442,0.474048761896092
"14",-11,0.489616128814114,0.47803975992769
"15",-10,0.479641762556057,0.479635463259477
"16",-9,0.470114284815613,0.479034333212102
"17",-8,0.459639101290478,0.477311206688904
"18",-7,0.445028051217996,0.47684575768611
"19",-6,0.430196580815946,0.473598686432859
"20",-5,0.423763579490014,0.459966843401785
"21",-4,0.422479066299544,0.437301026562429
"22",-3,0.412398422562661,0.416629809264529
"23",-2,0.392608359096233,0.397746539249931
"24",-1,0.370272032511516,0.371531977565943
