Population	total_n_samples	n_meandepth_wcvg<10x	n_10x-20x	n_20x-30x	n_30x-40x	n_40x-50x	n_>50x
Ssp-AAtu	43	43	0	0	0	0	0
Ssp-CGub	55	54	1	0	0	0	0
