Population	n_samples	AVG_numreads	AVG_meanreadlength	AVG_meandepth_wcvg	AVG_numpos	AVG_numpos_wcvg	AVG_meandepth	AVG_pctpos_wcvg
Ssp-AAtu	43	23136.8	119.338	2.2066	489510973	882390	0.00385905	0.180259
Ssp-CGub	55	6.03744e+06	139.306	3.8822	489510973	126789175	1.38986	25.9012
