Population	total_n_samples	n_mappedReads<100k	n_100-250k	n_250-500k	n_500k-1M	n_1-2M	n_>2M
Ssp-AAtu	43	43	0	0	0	0	0
Ssp-CGub	55	9	1	1	2	7	35
