Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Tbi-ARos_001_Ex1b_L4_1	Tbi-ARos_001_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4285736.0	0.0	150.0	45.0	9.9881340872687	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_001_Ex1b_L4_2	Tbi-ARos_001_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4285736.0	0.0	150.0	45.0	10.937803850296625	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_002_Ex1b_L4_1	Tbi-ARos_002_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7472485.0	0.0	150.0	42.0	11.156032753418659	150.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail
Tbi-ARos_002_Ex1b_L4_2	Tbi-ARos_002_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7472485.0	0.0	150.0	42.0	12.628526811679079	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
Tbi-ARos_003_Ex1b_L4_1	Tbi-ARos_003_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6142107.0	0.0	150.0	40.0	9.458852170018117	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_003_Ex1b_L4_2	Tbi-ARos_003_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6142107.0	0.0	150.0	40.0	10.076032742112135	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
Tbi-ARos_004_Ex1b_L4_1	Tbi-ARos_004_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3158314.0	0.0	150.0	46.0	9.573976519406372	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_004_Ex1b_L4_2	Tbi-ARos_004_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3158314.0	0.0	150.0	46.0	11.873673078425684	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_005_Ex1b_L4_1	Tbi-ARos_005_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15924495.0	0.0	150.0	43.0	12.599119360531375	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
Tbi-ARos_005_Ex1b_L4_2	Tbi-ARos_005_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15924495.0	0.0	150.0	43.0	12.823962003904924	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_006_Ex1b_L4_1	Tbi-ARos_006_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9302491.0	0.0	150.0	44.0	10.731013160820135	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_006_Ex1b_L4_2	Tbi-ARos_006_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9302491.0	0.0	150.0	44.0	12.733641773467962	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_007_Ex1b_L4_1	Tbi-ARos_007_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6683805.0	0.0	150.0	47.0	10.338010284021951	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_007_Ex1b_L4_2	Tbi-ARos_007_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6683805.0	0.0	150.0	47.0	13.049634764672419	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_008_Ex1b_L4_1	Tbi-ARos_008_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5707569.0	0.0	150.0	40.0	9.792849135880207	150.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail
Tbi-ARos_008_Ex1b_L4_2	Tbi-ARos_008_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5707569.0	0.0	150.0	40.0	11.47173458188012	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_009_Ex1b_L4_1	Tbi-ARos_009_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2860812.0	0.0	150.0	48.0	7.927343101904623	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	fail	fail
Tbi-ARos_009_Ex1b_L4_2	Tbi-ARos_009_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2860812.0	0.0	150.0	49.0	11.151838728595239	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_010_Ex1b_L4_1	Tbi-ARos_010_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1223961.0	0.0	150.0	48.0	8.954443968749615	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_010_Ex1b_L4_2	Tbi-ARos_010_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1223961.0	0.0	150.0	48.0	10.902040975579835	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
Tbi-ARos_011_Ex1b_L4_1	Tbi-ARos_011_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11753965.0	0.0	150.0	48.0	10.407960532042802	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_011_Ex1b_L4_2	Tbi-ARos_011_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11753965.0	0.0	150.0	48.0	14.012354946764546	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_012_Ex1b_L4_1	Tbi-ARos_012_Ex1b_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8993594.0	0.0	150.0	45.0	11.045027984964053	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
Tbi-ARos_012_Ex1b_L4_2	Tbi-ARos_012_Ex1b_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8993594.0	0.0	150.0	45.0	13.512805182996345	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
