Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sde-AMar_001-SdA02001-L2-clmp-fp2-repr.R1	Sde-AMar_001-SdA02001-L2-clmp-fp2-repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	380973.0	0.0	33-150	53.0	81.4116554224008	131.47056878046476	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
Sde-AMar_001-SdA02001-L2-clmp-fp2-repr.R2	Sde-AMar_001-SdA02001-L2-clmp-fp2-repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	380973.0	0.0	33-150	53.0	80.81256887300985	132.69883955030934	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
Sde-AMar_002-SdA02002-L2-clmp-fp2-repr.R1	Sde-AMar_002-SdA02002-L2-clmp-fp2-repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	880889.0	0.0	33-150	52.0	75.03440613470515	135.8611834181151	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
Sde-AMar_002-SdA02002-L2-clmp-fp2-repr.R2	Sde-AMar_002-SdA02002-L2-clmp-fp2-repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	880889.0	0.0	33-150	52.0	75.40642311611776	136.96799142684264	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
Sde-AMar_003-SdA02003-L2-clmp-fp2-repr.R1	Sde-AMar_003-SdA02003-L2-clmp-fp2-repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	487676.0	0.0	33-150	52.0	80.24403402098804	133.05780887310428	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
Sde-AMar_003-SdA02003-L2-clmp-fp2-repr.R2	Sde-AMar_003-SdA02003-L2-clmp-fp2-repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	487676.0	0.0	33-150	52.0	80.02793274084738	134.11431770273705	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
Sde-AMar_004-SdA02004-L2-clmp-fp2-repr.R1	Sde-AMar_004-SdA02004-L2-clmp-fp2-repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	400246.0	0.0	33-150	44.0	85.93375892420603	107.88387141907727	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sde-AMar_004-SdA02004-L2-clmp-fp2-repr.R2	Sde-AMar_004-SdA02004-L2-clmp-fp2-repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	400246.0	0.0	33-150	44.0	85.64624455360998	108.53029636773384	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass
Sde-AMar_005-SdA02005-L2-clmp-fp2-repr.R1	Sde-AMar_005-SdA02005-L2-clmp-fp2-repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	711540.0	0.0	33-150	44.0	85.67203327291672	113.03160468842229	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
Sde-AMar_005-SdA02005-L2-clmp-fp2-repr.R2	Sde-AMar_005-SdA02005-L2-clmp-fp2-repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	711540.0	0.0	33-150	44.0	85.4410183354706	113.61226635185653	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
