pos	5pC>T
1	0.00467910612515229
2	0.00825771703317982
3	0.00553147384462685
4	0.00680411703081293
5	0.00753062658479211
6	0.00980859150958987
7	0.0119064955641896
8	0.00955877222642644
9	0.00963268899620648
10	0.01107390810495
11	0.00871241229009461
12	0.00889257504337093
13	0.00950004973848031
14	0.00991340898671516
15	0.00944921049359692
16	0.0102683738704404
17	0.00979633321605879
18	0.00995264911836666
19	0.0099387398892032
20	0.00978991070683468
21	0.0118438142726847
22	0.0103584621953257
23	0.0113451629242834
24	0.0105097903545809
25	0.0100055292321775
