Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
AeA01001_CKDL210012719-1a-AK9141-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	55613.0	9151.0	16674.0	6741.0	3357.0	1064.0	1032.0	404.0	19.0	1.0	186675.0	8492082.0
AeA01001_CKDL210012719-1a-AK9141-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	56114.0	9269.0	16428.0	6599.0	3288.0	998.0	1012.0	386.0	27.0	0.0	187487.0	8491205.0
AeA01002_CKDL210012719-1a-AK9141-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	38924.0	9986.0	15400.0	4947.0	2243.0	719.0	660.0	314.0	10.0	5.0	145703.0	5557093.0
AeA01002_CKDL210012719-1a-AK9141-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	39232.0	9873.0	15685.0	4907.0	2223.0	700.0	676.0	334.0	22.0	0.0	146992.0	5555360.0
AeA01003_CKDL210012719-1a-AK9141-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	64556.0	14869.0	14682.0	7765.0	4047.0	1317.0	1114.0	380.0	20.0	1.0	214870.0	9917548.0
AeA01003_CKDL210012719-1a-AK9141-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	64845.0	14700.0	14613.0	7739.0	3802.0	1184.0	1097.0	409.0	31.0	0.0	215201.0	9917548.0
AeA01004_CKDL210012719-1a-AK9141-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	2868.0	696.0	1488.0	368.0	158.0	55.0	56.0	33.0	0.0	0.0	9651.0	462034.0
AeA01004_CKDL210012719-1a-AK9141-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	2885.0	695.0	1520.0	323.0	159.0	51.0	48.0	29.0	0.0	0.0	9663.0	462034.0
AeA01005_CKDL210012719-1a-AK9141-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	2230.0	622.0	1499.0	233.0	123.0	36.0	34.0	41.0	0.0	0.0	8107.0	297011.0
AeA01005_CKDL210012719-1a-AK9141-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	2279.0	597.0	1526.0	241.0	108.0	27.0	31.0	35.0	1.0	0.0	8049.0	297042.0
AeA01006_CKDL210012719-1a-AK9141-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	68537.0	17844.0	80013.0	7447.0	3359.0	1129.0	1020.0	2433.0	21.0	1.0	232134.0	9302899.0
AeA01006_CKDL210012719-1a-AK9141-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	69230.0	17804.0	79443.0	7304.0	3400.0	1022.0	1054.0	2426.0	32.0	0.0	232223.0	9302899.0
AeA01007_CKDL210012719-1a-AK9141-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	83664.0	14571.0	19601.0	9622.0	5083.0	1632.0	1490.0	512.0	29.0	4.0	270376.0	12027171.0
AeA01007_CKDL210012719-1a-AK9141-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	83673.0	14170.0	19552.0	9591.0	4896.0	1509.0	1503.0	502.0	32.0	1.0	269912.0	12028414.0
AeA01008_CKDL210012719-1a-AK9141-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	112753.0	37662.0	102089.0	13016.0	5881.0	1845.0	2146.0	1991.0	39.0	1.0	552955.0	9707405.0
AeA01008_CKDL210012719-1a-AK9141-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	113133.0	37364.0	101444.0	12901.0	5978.0	1890.0	2072.0	1972.0	47.0	0.0	550415.0	9710567.0
AeA01009_CKDL210012719-1a-AK3905-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	59586.0	10385.0	40983.0	6764.0	3207.0	1062.0	1071.0	517.0	77.0	0.0	200488.0	6895003.0
AeA01009_CKDL210012719-1a-AK3905-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	60074.0	10353.0	40696.0	6581.0	3296.0	1146.0	1079.0	562.0	20.0	0.0	201777.0	6893559.0
