Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
AeA01001_CKDL210012719-1a-AK9141-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	8772813	158315.0	1.8	38.0	0.0	0.0	0.0	990.0	0.01	13285.0	0.15	113375.0	1.29	232708.0	2.65	78599.0	0.89	156864.0	1.79	99157.0	1.13	125915.0	1.42	88502.0	1.01	8492082	96.8
AeA01001_CKDL210012719-1a-AK9141-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	8772813	159794.0	1.82	47.0	0.0	0.0	0.0	84.0	0.0	12417.0	0.13999999999999999	113508.0	1.3	234298.0	2.67	78143.0	0.89	158138.0	1.8	100441.0	1.1400000000000001	127346.0	1.44	89852.0	1.02	8491205	96.79
AeA01002_CKDL210012719-1a-AK9141-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	5776004	127427.0	2.21	52.0	0.0	0.0	0.0	724.0	0.01	10581.0	0.18	96784.0	1.67	177769.0	3.08	65510.0	1.13	123856.0	2.14	81225.0	1.4	100689.0	1.73	72743.0	1.26	5557093	96.21
AeA01002_CKDL210012719-1a-AK9141-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	5776004	128710.0	2.24	59.0	0.0	0.0	0.0	37.0	0.0	10061.0	0.16999999999999998	96643.0	1.67	179258.0	3.11	65025.0	1.12	124965.0	2.17	81801.0	1.42	101345.0	1.74	73552.0	1.27	5555360	96.18
AeA01003_CKDL210012719-1a-AK9141-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	10241169	188808.0	1.84	32.0	0.0	0.0	0.0	862.0	0.01	14667.0	0.13999999999999999	122951.0	1.21	268765.0	2.62	90218.0	0.88	180995.0	1.77	113171.0	1.1	144915.0	1.41	99188.0	0.96	9917548	96.84
AeA01003_CKDL210012719-1a-AK9141-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	10241169	189266.0	1.84	32.0	0.0	0.0	0.0	73.0	0.0	13649.0	0.13999999999999999	122435.0	1.2	269715.0	2.63	89033.0	0.87	181819.0	1.78	113399.0	1.1	145392.0	1.41	99701.0	0.98	9917548	96.84
AeA01004_CKDL210012719-1a-AK9141-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	477407	8156.0	1.71	8.0	0.0	0.0	0.0	23.0	0.0	647.0	0.13	6905.0	1.4500000000000002	12134.0	2.54	4165.0	0.86	7753.0	1.62	4972.0	1.04	6199.0	1.3	4474.0	0.94	462034	96.78
AeA01004_CKDL210012719-1a-AK9141-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	477407	8260.0	1.73	11.0	0.0	0.0	0.0	0.0	0.0	626.0	0.13	6943.0	1.4500000000000002	12133.0	2.54	4176.0	0.87	7762.0	1.63	5059.0	1.05	6277.0	1.31	4516.0	0.95	462034	96.78
AeA01005_CKDL210012719-1a-AK9141-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	309936	7031.0	2.27	7.0	0.0	0.0	0.0	10.0	0.0	498.0	0.16	6380.0	2.06	10066.0	3.24	3824.0	1.2400000000000002	6623.0	2.14	4418.0	1.42	5315.0	1.72	4207.0	1.3599999999999999	297011	95.83
AeA01005_CKDL210012719-1a-AK9141-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	309936	6938.0	2.24	9.0	0.0	0.0	0.0	1.0	0.0	484.0	0.15000000000000002	6365.0	2.05	10061.0	3.2399999999999998	3782.0	1.2200000000000002	6540.0	2.11	4392.0	1.42	5276.0	1.71	4109.0	1.33	297042	95.84
AeA01006_CKDL210012719-1a-AK9141-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	9716837	177117.0	1.8199999999999998	251.0	0.0	1.0	0.0	1019.0	0.01	16746.0	0.16999999999999998	217393.0	2.24	290116.0	2.99	88475.0	0.91	169506.0	1.74	107374.0	1.1	132780.0	1.3599999999999999	93790.0	0.97	9302899	95.74
AeA01006_CKDL210012719-1a-AK9141-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	9716837	178187.0	1.83	244.0	0.0	1.0	0.0	50.0	0.0	15648.0	0.16	215712.0	2.23	291346.0	2.99	87165.0	0.9	170432.0	1.76	107448.0	1.1	133671.0	1.3699999999999999	94204.0	0.97	9302899	95.74
AeA01007_CKDL210012719-1a-AK9141-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	12433755	233450.0	1.8800000000000001	58.0	0.0	1.0	0.0	1054.0	0.01	18665.0	0.15	157455.0	1.27	339678.0	2.7399999999999998	114434.0	0.92	228378.0	1.84	146043.0	1.17	184971.0	1.48	130235.0	1.04	12027171	96.73
AeA01007_CKDL210012719-1a-AK9141-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	12433755	234385.0	1.8900000000000001	61.0	0.0	1.0	0.0	105.0	0.0	17655.0	0.13999999999999999	156851.0	1.26	340339.0	2.7399999999999998	113068.0	0.9	228825.0	1.84	146254.0	1.17	186272.0	1.48	130517.0	1.05	12028414	96.74
AeA01008_CKDL210012719-1a-AK9141-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	10537783	487115.0	4.63	304.0	0.0	0.0	0.0	810.0	0.01	30166.0	0.29	468524.0	4.4399999999999995	644213.0	6.119999999999999	288247.0	2.7399999999999998	463197.0	4.39	348364.0	3.3	402686.0	3.83	323627.0	3.0700000000000003	9707405	92.12
AeA01008_CKDL210012719-1a-AK9141-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	10537783	485838.0	4.6000000000000005	303.0	0.0	0.0	0.0	48.0	0.0	29149.0	0.28	465382.0	4.41	642888.0	6.109999999999999	284605.0	2.6999999999999997	462022.0	4.38	347224.0	3.29	402043.0	3.81	322297.0	3.0599999999999996	9710567	92.15
AeA01009_CKDL210012719-1a-AK3905-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	7219143	161730.0	2.25	92.0	0.0	0.0	0.0	451.0	0.01	12529.0	0.18	153619.0	2.14	250440.0	3.4699999999999998	81659.0	1.13	159173.0	2.21	106276.0	1.47	130035.0	1.81	94819.0	1.3099999999999998	6895003	95.51
