"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0847418292297361,0.0222281722158844,2.2992541174239e-05,0.146745907890237,0.40662652048236,-5617.50147979572
"Std.",0.000259648625143928,0.000313379699095134,2.29347423477738e-05,0.00616587033536777,0.00166462119029118,1.7261864864746
"Acceptance ratio",0.16432,0.25544,0.12814,0.1734,0.16634,0.62338
"0%",0.0837720532166378,0.0208821925888248,4.66459170383453e-09,0.125000927248192,0.400214610230815,-5630.34089216514
"2.5%",0.0842153832848114,0.0216185346088331,6.25263981196421e-07,0.13495098320311,0.403339870748567,-5621.70428196878
"5%",0.0843073643352601,0.0217102288127591,1.34577085386713e-06,0.136729669516634,0.403881006357775,-5620.76516365804
"7.5%",0.0843692587166686,0.0217687474922517,2.01173548993489e-06,0.138010917374871,0.404188796712056,-5620.18849043524
"10%",0.084408026263879,0.0218163834097226,2.64937067878543e-06,0.13903555328209,0.404461537466245,-5619.79432920029
"12.5%",0.0844418974999131,0.021863008592911,3.31162427531308e-06,0.139805417303407,0.404710594350265,-5619.46888870134
"15%",0.084474186391967,0.0218996814366977,3.8996142486567e-06,0.140535266150313,0.404906328944565,-5619.19776342485
"17.5%",0.0845042858800797,0.0219320386686299,4.69495763161758e-06,0.141033687912452,0.405084814635924,-5618.97601396139
"20%",0.0845289506323152,0.0219641094232702,5.38559327738971e-06,0.14152519925797,0.405231233272171,-5618.79167740317
"22.5%",0.0845511748183068,0.0219899957393393,6.10103519827152e-06,0.142130529964319,0.405350086317149,-5618.60906282789
"25%",0.0845705127858856,0.0220168497734089,6.83790184361224e-06,0.142597826349802,0.405514474164965,-5618.44342151153
"27.5%",0.0845930884584627,0.0220419975755993,7.70700983613411e-06,0.143074170071137,0.405632773103174,-5618.29027161119
"30%",0.0846140786405561,0.0220633900822531,8.32756442776493e-06,0.143471139101143,0.405752945392951,-5618.14054507835
"32.5%",0.0846317292436574,0.0220890540621473,9.05821814788813e-06,0.143908913185786,0.405883417652794,-5618.005859025
"35%",0.0846477615140881,0.0221071971299549,9.82703525468745e-06,0.144299557190523,0.405997419179993,-5617.87489563196
"37.5%",0.0846629922784758,0.0221284374620877,1.08186383574674e-05,0.144753660320321,0.406107597280772,-5617.75076758317
"40%",0.0846808653730396,0.0221498467790093,1.17721224942211e-05,0.145136966003878,0.406223559619188,-5617.63346140507
"42.5%",0.0846935115176485,0.0221693126533747,1.27001955626217e-05,0.145532318637302,0.406347734367473,-5617.51803632575
"45%",0.0847107518573698,0.0221908442827819,1.33795106148816e-05,0.145896421728197,0.406449211906361,-5617.40341115604
"47.5%",0.08472586294264,0.0222095131783893,1.45168652104295e-05,0.146278989092541,0.406526343024001,-5617.29330549483
"50%",0.0847405047140642,0.0222293261194123,1.55732756188473e-05,0.14667671366912,0.406626442500514,-5617.18817587924
"52.5%",0.0847564435820812,0.0222485235467073,1.68972774484133e-05,0.147002376296672,0.406745171109846,-5617.08097694594
"55%",0.0847713437639585,0.0222692536871214,1.8151842421422e-05,0.147355172294468,0.406846779599869,-5616.97891687185
"57.5%",0.0847891537972312,0.0222881992982382,1.95749056786679e-05,0.147776988733256,0.406949346741005,-5616.87989045402
"60%",0.0848049550718918,0.0223097748408865,2.08574585846427e-05,0.148172132244749,0.407063610413925,-5616.78845307237
"62.5%",0.0848218583684052,0.0223320433102701,2.22646419997022e-05,0.148558955135818,0.407165513525993,-5616.69196367365
"65%",0.0848365299242749,0.0223508269302165,2.39013314902548e-05,0.148970705431589,0.407284347596564,-5616.5939815635
"67.5%",0.0848530741981138,0.0223734548346994,2.56132104645177e-05,0.149369925706103,0.407386568652137,-5616.50160980746
"70%",0.0848705685788898,0.022395679034883,2.7503298184061e-05,0.149855725882323,0.407495453298752,-5616.41581202922
"72.5%",0.0848929788339957,0.0224178344159598,2.92374298713519e-05,0.15032760906162,0.407618680203844,-5616.32479559479
"75%",0.0849138070110222,0.0224431639308236,3.18195015253084e-05,0.150779834230227,0.407746132787647,-5616.23624159715
"77.5%",0.0849368730348187,0.0224670488750361,3.41015325837079e-05,0.151279350198046,0.407884175451475,-5616.13671572875
"80%",0.084958881354268,0.0224920527282855,3.71574812159939e-05,0.151839322506211,0.408025853965786,-5616.03673868768
"82.5%",0.0849811909751462,0.0225208502381732,4.02454562642346e-05,0.152427594452387,0.408182892316652,-5615.93428652983
"85%",0.0850088938911111,0.0225544770879747,4.4325250973122e-05,0.153101623625833,0.408336966589421,-5615.82615832874
"87.5%",0.0850374395228929,0.0225888758468157,4.83697061739388e-05,0.15380497784018,0.408542600266355,-5615.71330633143
"90%",0.0850794854352131,0.0226273520457702,5.35419856026974e-05,0.154664723500805,0.408730511337994,-5615.58588895539
"92.5%",0.0851232165139838,0.0226795854840709,5.98880378564591e-05,0.155624976270923,0.409022199124436,-5615.46087880452
"95%",0.0851766162181538,0.0227452253017668,6.91875584826167e-05,0.156957225989299,0.409331698480889,-5615.31610169365
"97.5%",0.0852468669374542,0.0228336214184965,8.29995543122541e-05,0.159162387904367,0.409803644738219,-5615.10334523194
"100%",0.0856396871138786,0.0233773182804504,0.000208718545846152,0.173026770139105,0.413416571483867,-5614.58132965196
