Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Viruses	Coral	Vectors	Multiple Genomes	No hits
Ssp-AAtu_005-Ex1-4E-cssl-1-2.clmp.fp2_r1_screen	3407.0	21763.0	2933.0	2090.0	1167.0	377.0	89.0	305.0	9.0	122517.0	1417052.0
Ssp-AAtu_005-Ex1-4E-cssl-1-2.clmp.fp2_r2_screen	3432.0	22556.0	3002.0	2125.0	1249.0	372.0	99.0	228.0	3.0	124891.0	1413752.0
Ssp-AAtu_006-Ex1-1A-cssl-2-2.clmp.fp2_r1_screen	11680.0	2894.0	815.0	333.0	122.0	68.0	44.0	47.0	0.0	19861.0	130945.0
Ssp-AAtu_006-Ex1-1A-cssl-2-2.clmp.fp2_r2_screen	11642.0	2991.0	792.0	310.0	142.0	55.0	43.0	39.0	0.0	19834.0	130961.0
Ssp-AAtu_007-Ex1-1B-cssl-2-2.clmp.fp2_r1_screen	44566.0	2526.0	24558.0	1384.0	98.0	27.0	259.0	12.0	1.0	24104.0	87786.0
Ssp-AAtu_007-Ex1-1B-cssl-2-2.clmp.fp2_r2_screen	44448.0	2555.0	24475.0	1384.0	76.0	33.0	248.0	6.0	0.0	23791.0	88305.0
Ssp-AAtu_008-Ex1-4G-cssl-2-2.clmp.fp2_r1_screen	268.0	6848.0	806.0	569.0	342.0	122.0	26.0	69.0	3.0	46576.0	248687.0
Ssp-AAtu_008-Ex1-4G-cssl-2-2.clmp.fp2_r2_screen	260.0	7144.0	828.0	593.0	328.0	128.0	16.0	49.0	1.0	46282.0	248687.0
Ssp-AAtu_009-Ex1-4E-cssl-2-2.clmp.fp2_r1_screen	1123.0	10672.0	1096.0	867.0	477.0	208.0	29.0	93.0	4.0	68794.0	334078.0
Ssp-AAtu_009-Ex1-4E-cssl-2-2.clmp.fp2_r2_screen	1150.0	10840.0	1159.0	887.0	450.0	171.0	36.0	78.0	5.0	68546.0	334119.0
