pos	5pC>T
1	0.00475712430318103
2	0.00817569326703878
3	0.00536822566134855
4	0.00641687398105682
5	0.00733424350853128
6	0.0101943600837836
7	0.0114815030442683
8	0.00963777018574306
9	0.0101377654742852
10	0.011180816171574
11	0.00880612554198131
12	0.0090185798616622
13	0.010146732272835
14	0.00992840612269756
15	0.00979265114110742
16	0.00983946695757265
17	0.0102758720556935
18	0.0100822886602481
19	0.0101786210444366
20	0.00969698285925258
21	0.0114783092112614
22	0.0102809934779774
23	0.0115404791047386
24	0.0108846593134503
25	0.0101031855821826
