pos	3pG>A
1	0.00666856965861539
2	0.0072076095786445
3	0.0052697692944024
4	0.00588174104290194
5	0.00680787176351058
6	0.00903266429517306
7	0.00895693365119663
8	0.00855185950474299
9	0.0086508088446444
10	0.00927458408424976
11	0.00863478199948623
12	0.00860324482040543
13	0.00870348680061267
14	0.00896744522650605
15	0.00890898806362986
16	0.00885964635889445
17	0.00932531067138101
18	0.00920571295715871
19	0.00931273759231949
20	0.00903786518687775
21	0.00988084175361415
22	0.00899400797345365
23	0.0114002006197185
24	0.00884159484317453
25	0.00856260692273441
