Population	total_n_samples	n_meandepth_wcvg<10x	n_10x-20x	n_20x-30x	n_30x-40x	n_40x-50x	n_>50x
Leq-ABas	52	18	16	17	1	0	0
Leq-CMig	62	0	6	20	22	13	1
