Population	n_samples	AVG_numreads	AVG_meanreadlength	AVG_meandepth_wcvg	AVG_numpos	AVG_numpos_wcvg	AVG_meandepth	AVG_pctpos_wcvg
Leq-ABas	52	141913	132.542	15.6178	2009762	666123	6.70227	33.1443
Leq-CMig	62	399886	143.909	31.2487	2009762	1.45564e+06	23.2095	72.4284
