Population	total_n_samples	n_mappedReads<100k	n_100-250k	n_250-500k	n_500k-1M	n_1-2M	n_>2M
Leq-ABas	52	29	13	7	3	0	0
Leq-CMig	62	1	10	34	17	0	0
