pos	5pC>T
1	0.00422768490764387
2	0.00785822634947649
3	0.00520682197705932
4	0.00662578914459751
5	0.00671778465092598
6	0.0097139751776167
7	0.0108678589551231
8	0.00919346543229928
9	0.00936325942652469
10	0.0105166284446226
11	0.0087191859987747
12	0.00844772641817633
13	0.00917166078318693
14	0.00921511317401901
15	0.00948675992130446
16	0.00933727933004213
17	0.00993815605061207
18	0.00977405769077954
19	0.0093934390643398
20	0.00923530140191484
21	0.0112966923389795
22	0.00957559955856219
23	0.0109539205077308
24	0.0100533375372772
25	0.010091367789445
