"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0191989065486079,0.00890206376133232,1.04578106151385e-05,0.145855167536368,0.754729074088461,-21486.1359159836
"Std.",6.30259658984155e-05,0.000106108988295615,1.04160464589618e-05,0.00644714006519899,0.00292502533680298,1.73775803204271
"Acceptance ratio",0.13366,0.14062,0.11694,0.27346,0.23788,0.634
"0%",0.0189503890228013,0.00855201497511994,3.12925444413627e-09,0.124077578686428,0.743939346503641,-21498.3827942305
"2.5%",0.0190725348302136,0.00869588294938537,3.15651478769416e-07,0.133657696385707,0.748845701919597,-21490.3184240064
"5%",0.019092306193776,0.00872759250955732,5.9266398676415e-07,0.135465638606146,0.749862460573359,-21489.4197850722
"7.5%",0.0191059666209323,0.00874973495428548,8.37976078915184e-07,0.136653958362072,0.7505425981091,-21488.8643558
"10%",0.0191178126826396,0.00876580194744059,1.15927341835853e-06,0.137652604877894,0.751015314260421,-21488.4526624676
"12.5%",0.0191274133486154,0.00877799976440847,1.36728306715097e-06,0.138499397299552,0.751441912738726,-21488.1273414934
"15%",0.0191354093393143,0.00879004118597441,1.73354703865051e-06,0.13913487285305,0.751757469544671,-21487.8692337823
"17.5%",0.0191416103939468,0.00880248994611514,2.02485397084327e-06,0.139810967983916,0.752049850127986,-21487.6205040177
"20%",0.0191477839347948,0.00881388372037135,2.30206564787416e-06,0.140448948914456,0.752300114577107,-21487.4240020137
"22.5%",0.0191526194482235,0.00882229665142362,2.6842255456375e-06,0.140986953942502,0.752564665828348,-21487.2313620032
"25%",0.0191572107223748,0.00883178378312123,3.03799279944066e-06,0.141515566232834,0.752805585627886,-21487.0674395368
"27.5%",0.0191615531657291,0.00883970874236231,3.38313932727491e-06,0.141979533732228,0.753031085468605,-21486.9148144245
"30%",0.0191655860137692,0.00884670665582756,3.71663811713914e-06,0.142438652536546,0.753235069298745,-21486.7614403631
"32.5%",0.019170454272694,0.00885344170131297,4.09333600761146e-06,0.14286446991,0.75342974433129,-21486.6238493105
"35%",0.0191751971208435,0.00886152288661041,4.45779156069789e-06,0.143289882267459,0.753617415505822,-21486.4994906215
"37.5%",0.0191786368395453,0.00886878571950129,4.91086626259782e-06,0.143689477118652,0.753802287494267,-21486.3777481079
"40%",0.0191821573888364,0.00887638814708134,5.28901822274149e-06,0.144115151078289,0.753959818882918,-21486.2597055967
"42.5%",0.0191861542506015,0.0088836933073096,5.69764950146749e-06,0.144535293794196,0.754154174928521,-21486.1468981976
"45%",0.0191910764497619,0.00888940351570688,6.16282463284819e-06,0.144923662051293,0.754354652723203,-21486.0342265431
"47.5%",0.0191952606366671,0.00889423036007833,6.61693414688722e-06,0.14531684506468,0.754539187570113,-21485.9274018057
"50%",0.0191996256887273,0.00890076384323832,7.12816607541328e-06,0.145746101956893,0.75471721661728,-21485.8246733802
"52.5%",0.0192030667997388,0.0089066731862507,7.6331941447094e-06,0.146100700838805,0.754919042059609,-21485.7255929621
"55%",0.0192071288041496,0.00891367867545464,8.25567809061101e-06,0.146436729004651,0.755102968164421,-21485.6274966091
"57.5%",0.0192106555067046,0.00892095832227483,8.95845340798282e-06,0.146850335553775,0.7553007297388,-21485.5296006873
"60%",0.0192137889685571,0.00892815093028931,9.78479195242195e-06,0.147298046228201,0.755483017024165,-21485.4333417974
"62.5%",0.0192176979433854,0.00893534051415559,1.04362991504128e-05,0.147714977767959,0.755653993842637,-21485.3342847541
"65%",0.0192221347180191,0.00894213526260273,1.12569401877908e-05,0.148185299526242,0.755841469703285,-21485.2429461814
"67.5%",0.0192260614890126,0.00895043061818663,1.20103416459142e-05,0.148610492198669,0.756011287735771,-21485.1491555599
"70%",0.0192300511950967,0.00895741687887564,1.28397940788764e-05,0.149094032853316,0.756219036026634,-21485.051246979
"72.5%",0.0192360497275425,0.00896488172181225,1.36546843152242e-05,0.149543664314943,0.756463050600744,-21484.9598458466
"75%",0.0192412620289109,0.00897132875854923,1.46745123138677e-05,0.15010271196363,0.756663735256575,-21484.8600398912
"77.5%",0.0192469008568048,0.00897987121724049,1.56835606158852e-05,0.15069356773807,0.756916598390518,-21484.7586262279
"80%",0.0192527027229032,0.00898929479656605,1.69761496566537e-05,0.151231245261948,0.757140774294158,-21484.6479747641
"82.5%",0.0192585653925254,0.00899749757769159,1.81378016501971e-05,0.1518816987467,0.757380664005782,-21484.5401797367
"85%",0.0192649637319861,0.00901003804412456,1.96701897490616e-05,0.152551021887555,0.757709536556567,-21484.4295824255
"87.5%",0.0192732472940757,0.00902417477163263,2.17569582078399e-05,0.153234403023252,0.758043129913318,-21484.325108027
"90%",0.0192811983769004,0.00904052191624371,2.39312340523187e-05,0.154150782619285,0.758450476929711,-21484.2088390685
"92.5%",0.0192898793400109,0.00905993487486897,2.66431561270174e-05,0.155351766655704,0.75895995780754,-21484.0762200944
"95%",0.0193024343030959,0.00908223947972938,3.09897235938044e-05,0.156878798082311,0.759633260250695,-21483.9288419715
"97.5%",0.0193254762259975,0.00911436982279057,3.88229902518294e-05,0.159020798773796,0.760540526046619,-21483.7385140279
"100%",0.0194054896053841,0.00928711317424617,0.000102187776390803,0.16936750582216,0.765450557195943,-21483.1959160598
