Sample	Unique Reads	Duplicate Reads
Tbi-ARos_001_Ex1b_L4_clmp.fp2_repr.R1	342956.0	203146.0
Tbi-ARos_001_Ex1b_L4_clmp.fp2_repr.R2	339074.0	207028.0
Tbi-ARos_002_Ex1b_L4_clmp.fp2_repr.R1	644504.0	317737.0
Tbi-ARos_002_Ex1b_L4_clmp.fp2_repr.R2	634813.0	327428.0
Tbi-ARos_003_Ex1b_L4_clmp.fp2_repr.R1	478400.0	277790.0
Tbi-ARos_003_Ex1b_L4_clmp.fp2_repr.R2	468795.0	287395.0
Tbi-ARos_004_Ex1b_L4_clmp.fp2_repr.R1	252441.0	165117.0
Tbi-ARos_004_Ex1b_L4_clmp.fp2_repr.R2	253452.0	164106.0
Tbi-ARos_005_Ex1b_L4_clmp.fp2_repr.R1	1355884.0	617247.0
Tbi-ARos_005_Ex1b_L4_clmp.fp2_repr.R2	1320959.0	652172.0
Tbi-ARos_006_Ex1b_L4_clmp.fp2_repr.R1	776860.0	458427.0
Tbi-ARos_006_Ex1b_L4_clmp.fp2_repr.R2	779198.0	456089.0
Tbi-ARos_007_Ex1b_L4_clmp.fp2_repr.R1	562869.0	413627.0
Tbi-ARos_007_Ex1b_L4_clmp.fp2_repr.R2	587340.0	389156.0
Tbi-ARos_008_Ex1b_L4_clmp.fp2_repr.R1	471514.0	295256.0
Tbi-ARos_008_Ex1b_L4_clmp.fp2_repr.R2	474622.0	292148.0
Tbi-ARos_009_Ex1b_L4_clmp.fp2_repr.R1	192683.0	201450.0
Tbi-ARos_009_Ex1b_L4_clmp.fp2_repr.R2	208661.0	185472.0
Tbi-ARos_010_Ex1b_L4_clmp.fp2_repr.R1	81260.0	84749.0
Tbi-ARos_010_Ex1b_L4_clmp.fp2_repr.R2	88233.0	77776.0
Tbi-ARos_011_Ex1b_L4_clmp.fp2_repr.R1	894406.0	771501.0
Tbi-ARos_011_Ex1b_L4_clmp.fp2_repr.R2	945423.0	720484.0
Tbi-ARos_012_Ex1b_L4_clmp.fp2_repr.R1	754252.0	515510.0
Tbi-ARos_012_Ex1b_L4_clmp.fp2_repr.R2	763059.0	506703.0
Tbi-ARos_013_Ex1b_L4_clmp.fp2_repr.R1	1963345.0	951728.0
Tbi-ARos_013_Ex1b_L4_clmp.fp2_repr.R2	1949609.0	965464.0
Tbi-ARos_014_Ex1b_L4_clmp.fp2_repr.R1	533705.0	223686.0
Tbi-ARos_014_Ex1b_L4_clmp.fp2_repr.R2	530386.0	227005.0
Tbi-ARos_015_Ex1b_L4_clmp.fp2_repr.R1	253374.0	135881.0
Tbi-ARos_015_Ex1b_L4_clmp.fp2_repr.R2	253702.0	135553.0
Tbi-ARos_016_Ex1b_L4_clmp.fp2_repr.R1	536873.0	354114.0
Tbi-ARos_016_Ex1b_L4_clmp.fp2_repr.R2	528338.0	362649.0
Tbi-ARos_017_Ex1b_L4_clmp.fp2_repr.R1	318988.0	209050.0
Tbi-ARos_017_Ex1b_L4_clmp.fp2_repr.R2	315263.0	212775.0
Tbi-ARos_018_Ex1b_L4_clmp.fp2_repr.R1	197341.0	149023.0
Tbi-ARos_018_Ex1b_L4_clmp.fp2_repr.R2	200656.0	145708.0
Tbi-ARos_019_Ex1b_L4_clmp.fp2_repr.R1	1277538.0	914304.0
Tbi-ARos_019_Ex1b_L4_clmp.fp2_repr.R2	1275640.0	916202.0
Tbi-ARos_020_Ex1b_L4_clmp.fp2_repr.R1	175924.0	97574.0
Tbi-ARos_020_Ex1b_L4_clmp.fp2_repr.R2	174973.0	98525.0
Tbi-ARos_021_Ex1b_L4_clmp.fp2_repr.R1	741294.0	355500.0
Tbi-ARos_021_Ex1b_L4_clmp.fp2_repr.R2	733104.0	363690.0
Tbi-ARos_022_Ex1b_L4_clmp.fp2_repr.R1	287127.0	160552.0
Tbi-ARos_022_Ex1b_L4_clmp.fp2_repr.R2	285872.0	161807.0
Tbi-ARos_023_Ex1b_L4_clmp.fp2_repr.R1	603738.0	317751.0
Tbi-ARos_023_Ex1b_L4_clmp.fp2_repr.R2	604135.0	317354.0
Tbi-ARos_024_Ex1b_L4_clmp.fp2_repr.R1	184745.0	117076.0
Tbi-ARos_024_Ex1b_L4_clmp.fp2_repr.R2	185525.0	116296.0
Tbi-ARos_025_Ex1b_L4_clmp.fp2_repr.R1	182630.0	136536.0
Tbi-ARos_025_Ex1b_L4_clmp.fp2_repr.R2	185082.0	134084.0
Tbi-ARos_026_Ex1b_L4_clmp.fp2_repr.R1	252150.0	155863.0
Tbi-ARos_026_Ex1b_L4_clmp.fp2_repr.R2	253364.0	154649.0
Tbi-ARos_028_Ex1b_L4_clmp.fp2_repr.R1	268261.0	201115.0
Tbi-ARos_028_Ex1b_L4_clmp.fp2_repr.R2	270199.0	199177.0
Tbi-ARos_029_Ex1b_L4_clmp.fp2_repr.R1	296348.0	222298.0
Tbi-ARos_029_Ex1b_L4_clmp.fp2_repr.R2	298335.0	220311.0
Tbi-ARos_030_Ex1b_L4_clmp.fp2_repr.R1	698432.0	354726.0
Tbi-ARos_030_Ex1b_L4_clmp.fp2_repr.R2	676944.0	376214.0
Tbi-ARos_032_Ex1b_L4_clmp.fp2_repr.R1	270838.0	161661.0
Tbi-ARos_032_Ex1b_L4_clmp.fp2_repr.R2	266357.0	166142.0
Tbi-ARos_033_Ex1b_L4_clmp.fp2_repr.R1	101065.0	71417.0
Tbi-ARos_033_Ex1b_L4_clmp.fp2_repr.R2	100837.0	71645.0
Tbi-CJos_001_Ex1_L4_clmp.fp2_repr.R1	5006566.0	1362965.0
Tbi-CJos_001_Ex1_L4_clmp.fp2_repr.R2	4957182.0	1412349.0
Tbi-CJos_004_Ex1_L4_clmp.fp2_repr.R1	4565901.0	1379916.0
Tbi-CJos_004_Ex1_L4_clmp.fp2_repr.R2	4568974.0	1376843.0
Tbi-CJos_005_Ex1_L4_clmp.fp2_repr.R1	4673751.0	1356702.0
Tbi-CJos_005_Ex1_L4_clmp.fp2_repr.R2	4668201.0	1362252.0
Tbi-CJos_006_Ex1_L4_clmp.fp2_repr.R1	2325530.0	584611.0
Tbi-CJos_006_Ex1_L4_clmp.fp2_repr.R2	2318098.0	592043.0
Tbi-CJos_007_Ex1_L4_clmp.fp2_repr.R1	5011201.0	1408719.0
Tbi-CJos_007_Ex1_L4_clmp.fp2_repr.R2	4869910.0	1550010.0
Tbi-CJos_008_Ex1_L4_clmp.fp2_repr.R1	6225268.0	1734409.0
Tbi-CJos_008_Ex1_L4_clmp.fp2_repr.R2	6027079.0	1932598.0
Tbi-CJos_009_Ex1_L4_clmp.fp2_repr.R1	7232562.0	2329168.0
Tbi-CJos_009_Ex1_L4_clmp.fp2_repr.R2	7110755.0	2450975.0
Tbi-CJos_010_Ex1_L4_clmp.fp2_repr.R1	5269033.0	1524743.0
Tbi-CJos_010_Ex1_L4_clmp.fp2_repr.R2	5220509.0	1573267.0
Tbi-CJos_011_Ex1_L4_clmp.fp2_repr.R1	5284621.0	1543663.0
Tbi-CJos_011_Ex1_L4_clmp.fp2_repr.R2	5177724.0	1650560.0
Tbi-CJos_012_Ex1_L4_clmp.fp2_repr.R1	7896240.0	2424213.0
Tbi-CJos_012_Ex1_L4_clmp.fp2_repr.R2	7661553.0	2658900.0
Tbi-CJos_013_Ex1_L4_clmp.fp2_repr.R1	5762610.0	1693068.0
Tbi-CJos_013_Ex1_L4_clmp.fp2_repr.R2	5711106.0	1744572.0
Tbi-CJos_014_Ex1_L4_clmp.fp2_repr.R1	9699349.0	3181506.0
Tbi-CJos_014_Ex1_L4_clmp.fp2_repr.R2	9492196.0	3388659.0
Tbi-CJos_015_Ex1_L4_clmp.fp2_repr.R1	4518312.0	1308285.0
Tbi-CJos_015_Ex1_L4_clmp.fp2_repr.R2	4485019.0	1341578.0
Tbi-CJos_016_Ex1_L4_clmp.fp2_repr.R1	3462390.0	990199.0
Tbi-CJos_016_Ex1_L4_clmp.fp2_repr.R2	3484510.0	968079.0
Tbi-CJos_017_Ex1_L4_clmp.fp2_repr.R1	4872520.0	1387246.0
Tbi-CJos_017_Ex1_L4_clmp.fp2_repr.R2	4848533.0	1411233.0
Tbi-CJos_018_Ex1_L4_clmp.fp2_repr.R1	2402183.0	631684.0
Tbi-CJos_018_Ex1_L4_clmp.fp2_repr.R2	2406599.0	627268.0
Tbi-CJos_020_Ex1_L4_clmp.fp2_repr.R1	4868238.0	1329974.0
Tbi-CJos_020_Ex1_L4_clmp.fp2_repr.R2	4731823.0	1466389.0
Tbi-CJos_022_Ex1_L4_clmp.fp2_repr.R1	3995688.0	1064036.0
Tbi-CJos_022_Ex1_L4_clmp.fp2_repr.R2	3969631.0	1090093.0
Tbi-CJos_023_Ex1_L4_clmp.fp2_repr.R1	5974621.0	1798901.0
Tbi-CJos_023_Ex1_L4_clmp.fp2_repr.R2	5903939.0	1869583.0
Tbi-CJos_025_Ex1_L4_clmp.fp2_repr.R1	7409346.0	2284953.0
Tbi-CJos_025_Ex1_L4_clmp.fp2_repr.R2	7276073.0	2418226.0
Tbi-CJos_026_Ex1_L4_clmp.fp2_repr.R1	6301453.0	1784651.0
Tbi-CJos_026_Ex1_L4_clmp.fp2_repr.R2	6198912.0	1887192.0
Tbi-CJos_027_Ex1_L4_clmp.fp2_repr.R1	5866312.0	1706277.0
Tbi-CJos_027_Ex1_L4_clmp.fp2_repr.R2	5782972.0	1789617.0
Tbi-CJos_028_Ex1_L4_clmp.fp2_repr.R1	6734353.0	1967834.0
Tbi-CJos_028_Ex1_L4_clmp.fp2_repr.R2	6589569.0	2112618.0
Tbi-CJos_029_Ex1_L4_clmp.fp2_repr.R1	7429508.0	2126737.0
Tbi-CJos_029_Ex1_L4_clmp.fp2_repr.R2	7298416.0	2257829.0
Tbi-CJos_030_Ex1_L4_clmp.fp2_repr.R1	5394372.0	1456264.0
Tbi-CJos_030_Ex1_L4_clmp.fp2_repr.R2	5270696.0	1579940.0
Tbi-CJos_031_Ex1_L4_clmp.fp2_repr.R1	4220528.0	1111485.0
