Module	Section	Sample Name	Source
fastp	all_sections	Hte-ATic_062-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_062-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_059-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_059-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_012-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_012-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_036-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_036-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_032-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_032-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_015-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_015-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_022-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_022-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_060-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_060-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_001-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_001-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_011-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_011-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_054-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_054-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_058-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_058-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_037-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_037-Ex1-cssl.fastp.json
fastp	all_sections	Hte-ATic_044-Ex1-cssl	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/hypoatherina_temminckii/fq_fp1/Hte-ATic_044-Ex1-cssl.fastp.json
