"","Position","C.T","G.A"
"1",1,0.37489992724868,0.201987253781274
"2",2,0.376978188922535,0.215865368920441
"3",3,0.37250288218466,0.237452155707921
"4",4,0.366476135935048,0.258629077349488
"5",5,0.362447356869508,0.274931797583576
"6",6,0.3616049737875,0.285689124817088
"7",7,0.363380893012768,0.292196636302685
"8",8,0.365198764708635,0.297849791615523
"9",9,0.368620608547778,0.30087634154253
"10",10,0.371223420789897,0.304292265641115
"11",11,0.372550344782161,0.308709540986925
"12",12,0.375329284062933,0.310906893125226
"13",-12,0.323794799792009,0.363614844143618
"14",-11,0.32117797782726,0.361182757233954
"15",-10,0.317499609433054,0.35926978327147
"16",-9,0.313522455240945,0.357160443991892
"17",-8,0.309559760609142,0.354528483633878
"18",-7,0.304323218193067,0.352411396471886
"19",-6,0.297779729777451,0.350737676994051
"20",-5,0.286973258203546,0.351802398072819
"21",-4,0.272733893819376,0.354546811044296
"22",-3,0.254797975988555,0.358727256366427
"23",-2,0.23338731497397,0.363665695161718
"24",-1,0.215346773395946,0.364507338820289
