pos	5pC>T
1	0.0203772823565016
2	0.030995635248319
3	0.0178932819981243
4	0.0204983595889482
5	0.0210295666031132
6	0.0302269261817203
7	0.0324104958861463
8	0.0279486774990798
9	0.0299011022973112
10	0.031742879836605
11	0.0233352885669838
12	0.0243320375928751
13	0.0265159518275935
14	0.0276450241596916
15	0.0258064516129032
16	0.025
17	0.025819584315406
18	0.0247039553180634
19	0.0255912412695844
20	0.0265832263585794
21	0.027675227749595
22	0.025969510564322
23	0.0262173300075914
24	0.0278586054531738
25	0.0273679709215309
