Population	total_n_samples	n_mappedReads<100k	n_100-250k	n_250-500k	n_500k-1M	n_1-2M	n_>2M
Sgr-AJol	92	0	0	1	11	40	40
Sgr-AMvi	86	31	5	4	19	24	3
Sgr-APal	37	9	6	9	5	4	4
Sgr-CJol	61	3	35	23	0	0	0
Sgr-CMas	64	2	23	31	7	0	1
Sgr-CMvi	61	8	14	11	17	11	0
