file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_001_Ex1_L3_1.fq.gz	9546582	9302148	5934883	5912431	4441080	4323694	2.56043	36.1988	0.378306	24.8857	2.64319	54.7095
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_001_Ex1_L3_2.fq.gz	9546582	9302148	5934883	5912431	4438487	4323694	2.56043	36.1988	0.378306	24.9296	2.58631	54.7095
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_002_Ex1_L3_1.fq.gz	8492529	8269627	4334093	4314555	1995711	1929928	2.62468	47.5902	0.450798	53.7447	3.29622	77.275
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_002_Ex1_L3_2.fq.gz	8492529	8269627	4334093	4314555	1996062	1929928	2.62468	47.5902	0.450798	53.7365	3.31322	77.275
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_003_Ex1_L3_1.fq.gz	14780759	14176323	8493393	8461181	7284951	7139334	4.08934	40.0875	0.37926	13.9015	1.99887	51.6985
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_003_Ex1_L3_2.fq.gz	14780759	14176323	8493393	8461181	7282092	7139334	4.08934	40.0875	0.37926	13.9353	1.9604	51.6985
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_004_Ex1_L3_1.fq.gz	12897062	12655228	8122165	8095497	5928739	5779246	1.87511	35.8197	0.328336	26.765	2.5215	55.1894
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_004_Ex1_L3_2.fq.gz	12897062	12655228	8122165	8095497	5925872	5779246	1.87511	35.8197	0.328336	26.8004	2.47434	55.1894
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_005_Ex1_L3_1.fq.gz	10113809	9822813	6156846	6138139	4787042	4657454	2.87721	37.3209	0.303841	22.0115	2.70706	53.9496
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_005_Ex1_L3_2.fq.gz	10113809	9822813	6156846	6138139	4783519	4657454	2.87721	37.3209	0.303841	22.0689	2.6354	53.9496
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_006_Ex1_L3_1.fq.gz	21911494	21202393	12261737	12162799	8867879	8584044	3.23621	42.1681	0.806884	27.0901	3.20071	60.824
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_006_Ex1_L3_2.fq.gz	21911494	21202393	12261737	12162799	8861857	8584044	3.23621	42.1681	0.806884	27.1397	3.13493	60.824
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/leiognathus_equula/raw_fq_capture/Leq-ABas_007_Ex1_L3_1.fq.gz	353614	343764	275524	272291	217937	210532	2.78552	19.8508	1.1734	19.9617	3.39777	40.4628
