Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Hte-ATic_001-Ex1-cssl.clmp.fp2_r1_screen	656.0	6805.0	1215.0	78.0	7.0	19.0	6.0	1.0	0.0	0.0	5521.0	45883.0
Hte-ATic_001-Ex1-cssl.clmp.fp2_r2_screen	624.0	6644.0	1004.0	77.0	14.0	3.0	1.0	0.0	0.0	0.0	5393.0	46431.0
Hte-ATic_002-Ex1-cssl.clmp.fp2_r1_screen	32729.0	113929.0	8947.0	1058.0	38.0	279.0	9.0	12.0	1.0	0.0	82515.0	395301.0
Hte-ATic_002-Ex1-cssl.clmp.fp2_r2_screen	31270.0	112934.0	8524.0	1299.0	46.0	262.0	19.0	9.0	1.0	0.0	79440.0	401014.0
Hte-ATic_003-Ex1-cssl.clmp.fp2_r1_screen	9393.0	100290.0	15192.0	1334.0	947.0	167.0	95.0	70.0	4.0	0.0	103339.0	926214.0
Hte-ATic_003-Ex1-cssl.clmp.fp2_r2_screen	8554.0	94619.0	15236.0	1260.0	795.0	157.0	300.0	49.0	0.0	0.0	102919.0	933156.0
Hte-ATic_004-Ex1-cssl.clmp.fp2_r1_screen	12147.0	122716.0	20947.0	1254.0	964.0	819.0	222.0	94.0	0.0	0.0	142894.0	1146657.0
Hte-ATic_004-Ex1-cssl.clmp.fp2_r2_screen	11808.0	122153.0	22085.0	1499.0	1120.0	288.0	157.0	166.0	0.0	0.0	135972.0	1153466.0
Hte-ATic_005-Ex1-cssl.clmp.fp2_r1_screen	13945.0	109084.0	14022.0	1550.0	475.0	1186.0	217.0	85.0	2.0	0.0	176759.0	857082.0
Hte-ATic_005-Ex1-cssl.clmp.fp2_r2_screen	14038.0	107710.0	15140.0	1246.0	468.0	433.0	160.0	114.0	1.0	0.0	176254.0	858843.0
Hte-ATic_006-Ex1-cssl.clmp.fp2_r1_screen	60506.0	89209.0	31428.0	1991.0	970.0	342.0	520.0	120.0	2.0	0.0	175794.0	1243749.0
Hte-ATic_006-Ex1-cssl.clmp.fp2_r2_screen	58469.0	88708.0	29536.0	2517.0	970.0	171.0	323.0	327.0	2.0	0.0	173280.0	1250328.0
Hte-ATic_007-Ex1-cssl.clmp.fp2_r1_screen	17214.0	96544.0	11347.0	1028.0	85.0	270.0	44.0	14.0	0.0	0.0	89595.0	697772.0
Hte-ATic_007-Ex1-cssl.clmp.fp2_r2_screen	18713.0	93073.0	11970.0	1116.0	101.0	413.0	35.0	23.0	0.0	0.0	83386.0	705083.0
Hte-ATic_008-Ex1-cssl.clmp.fp2_r1_screen	3742.0	59746.0	4595.0	128.0	114.0	80.0	6.0	13.0	0.0	0.0	76381.0	169988.0
Hte-ATic_008-Ex1-cssl.clmp.fp2_r2_screen	3849.0	57335.0	4456.0	152.0	139.0	103.0	4.0	3.0	0.0	0.0	76592.0	172160.0
Hte-ATic_010-Ex1-cssl.clmp.fp2_r1_screen	7147.0	65650.0	6771.0	686.0	103.0	181.0	16.0	23.0	1.0	0.0	61281.0	282613.0
Hte-ATic_010-Ex1-cssl.clmp.fp2_r2_screen	7149.0	60860.0	7660.0	625.0	84.0	210.0	25.0	9.0	1.0	0.0	60270.0	287579.0
Hte-ATic_011-Ex1-cssl.clmp.fp2_r1_screen	21317.0	25574.0	6651.0	655.0	434.0	259.0	51.0	52.0	8.0	0.0	63174.0	381929.0
Hte-ATic_011-Ex1-cssl.clmp.fp2_r2_screen	21357.0	25482.0	6699.0	525.0	253.0	243.0	43.0	40.0	1.0	0.0	60181.0	385280.0
Hte-ATic_012-Ex1-cssl.clmp.fp2_r1_screen	8614.0	66036.0	8364.0	466.0	233.0	296.0	35.0	80.0	1.0	0.0	61983.0	423510.0
Hte-ATic_012-Ex1-cssl.clmp.fp2_r2_screen	8965.0	63632.0	8453.0	541.0	263.0	191.0	45.0	34.0	0.0	0.0	58458.0	429036.0
Hte-ATic_013-Ex1-cssl.clmp.fp2_r1_screen	136337.0	131498.0	14471.0	1333.0	281.0	3508.0	92.0	135.0	27.0	0.0	181855.0	777571.0
Hte-ATic_013-Ex1-cssl.clmp.fp2_r2_screen	131425.0	126005.0	14471.0	1373.0	230.0	3476.0	234.0	52.0	21.0	0.0	177783.0	792038.0
Hte-ATic_014-Ex1-cssl.clmp.fp2_r1_screen	16335.0	56180.0	5371.0	368.0	32.0	97.0	6.0	55.0	0.0	0.0	68494.0	323262.0
Hte-ATic_014-Ex1-cssl.clmp.fp2_r2_screen	15642.0	53884.0	4954.0	369.0	37.0	97.0	6.0	5.0	1.0	0.0	67570.0	327635.0
Hte-ATic_015-Ex1-cssl.clmp.fp2_r1_screen	15063.0	148832.0	13142.0	929.0	487.0	141.0	66.0	45.0	0.0	0.0	222154.0	629360.0
Hte-ATic_015-Ex1-cssl.clmp.fp2_r2_screen	15367.0	144028.0	14555.0	1167.0	585.0	124.0	109.0	54.0	5.0	0.0	218065.0	636160.0
Hte-ATic_017-Ex1-cssl.clmp.fp2_r1_screen	7431.0	71466.0	7448.0	694.0	391.0	58.0	155.0	105.0	3.0	0.0	105747.0	426486.0
