all	0	849744	972717	0.8735778
all	1	1437	972717	0.0014773
all	2	77072	972717	0.0792337
all	3	542	972717	0.0005572
all	4	24086	972717	0.0247616
all	5	447	972717	0.0004595
all	6	9439	972717	0.0097037
all	7	299	972717	0.0003074
all	8	3956	972717	0.0040670
all	9	281	972717	0.0002889
all	10	2431	972717	0.0024992
all	11	24	972717	0.0000247
all	12	990	972717	0.0010178
all	13	90	972717	0.0000925
all	14	485	972717	0.0004986
all	15	8	972717	0.0000082
all	16	187	972717	0.0001922
all	17	51	972717	0.0000524
all	18	169	972717	0.0001737
all	19	18	972717	0.0000185
all	20	45	972717	0.0000463
all	21	3	972717	0.0000031
all	22	150	972717	0.0001542
all	23	25	972717	0.0000257
all	24	83	972717	0.0000853
all	25	9	972717	0.0000093
all	26	143	972717	0.0001470
all	27	3	972717	0.0000031
all	28	10	972717	0.0000103
all	32	1	972717	0.0000010
all	36	2	972717	0.0000021
all	38	1	972717	0.0000010
all	39	53	972717	0.0000545
all	40	81	972717	0.0000833
all	42	6	972717	0.0000062
all	44	14	972717	0.0000144
all	46	4	972717	0.0000041
all	47	1	972717	0.0000010
all	48	5	972717	0.0000051
all	52	2	972717	0.0000021
all	58	10	972717	0.0000103
all	60	31	972717	0.0000319
all	61	16	972717	0.0000164
all	62	71	972717	0.0000730
all	64	10	972717	0.0000103
all	68	1	972717	0.0000010
all	70	1	972717	0.0000010
all	72	3	972717	0.0000031
all	76	3	972717	0.0000031
all	78	2	972717	0.0000021
all	80	1	972717	0.0000010
all	83	1	972717	0.0000010
all	84	13	972717	0.0000134
all	86	7	972717	0.0000072
all	88	3	972717	0.0000031
all	90	1	972717	0.0000010
all	94	2	972717	0.0000021
all	96	3	972717	0.0000031
all	100	3	972717	0.0000031
all	101	1	972717	0.0000010
all	104	3	972717	0.0000031
all	106	8	972717	0.0000082
all	142	1	972717	0.0000010
all	143	33	972717	0.0000339
all	144	92	972717	0.0000946
