file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_001_Ex1_L4_1.fq.gz	33061437	32760785	4389375	4324973	3739547	3620692	99.0906	13.3983	98.5328	86.4641	96.8217	10.9514
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_001_Ex1_L4_2.fq.gz	33061437	32760785	4389375	4324973	3730827	3620692	99.0906	13.3983	98.5328	86.2624	97.048	10.9514
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_002_Ex1_L4_1.fq.gz	14591469	14451989	1920281	1891371	1664294	1620492	99.0441	13.2873	98.4945	87.9941	97.3681	11.1057
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_002_Ex1_L4_2.fq.gz	14591469	14451989	1920281	1891371	1663553	1620492	99.0441	13.2873	98.4945	87.9549	97.4115	11.1057
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_003_Ex1_L4_1.fq.gz	27640393	27406320	3532916	3480847	3070111	2967666	99.1531	12.8909	98.5262	88.2001	96.6631	10.7367
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_003_Ex1_L4_2.fq.gz	27640393	27406320	3532916	3480847	3064240	2967666	99.1531	12.8909	98.5262	88.0314	96.8484	10.7367
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_004_Ex1_L4_1.fq.gz	23750472	23541031	3056192	3011465	2644764	2562026	99.1182	12.9824	98.5365	87.8232	96.8716	10.7873
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_004_Ex1_L4_2.fq.gz	23750472	23541031	3056192	3011465	2640712	2562026	99.1182	12.9824	98.5365	87.6886	97.0203	10.7873
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_005_Ex1_L4_1.fq.gz	36133299	35836294	4439840	4372898	3861564	3742599	99.178	12.3892	98.4922	88.3067	96.9193	10.3578
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_005_Ex1_L4_2.fq.gz	36133299	35836294	4439840	4372898	3853452	3742599	99.178	12.3892	98.4922	88.1212	97.1233	10.3578
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_006_Ex1_L4_1.fq.gz	18005704	17814005	2023391	1990904	1638625	1594702	98.9353	11.3584	98.3944	82.3056	97.3195	8.85665
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_006_Ex1_L4_2.fq.gz	18005704	17814005	2023391	1990904	1636637	1594702	98.9353	11.3584	98.3944	82.2057	97.4377	8.85665
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_007_Ex1_L4_1.fq.gz	16960136	16821456	2184542	2153051	1924715	1863700	99.1823	12.9866	98.5585	89.3948	96.8299	10.9887
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_007_Ex1_L4_2.fq.gz	16960136	16821456	2184542	2153051	1921367	1863700	99.1823	12.9866	98.5585	89.2393	96.9986	10.9887
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_008_Ex1_L4_1.fq.gz	14571802	14435806	1909249	1880673	1609225	1557630	99.0667	13.2258	98.5033	85.5664	96.7938	10.6893
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_008_Ex1_L4_2.fq.gz	14571802	14435806	1909249	1880673	1605866	1557630	99.0667	13.2258	98.5033	85.3878	96.9963	10.6893
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_009_Ex1_L4_1.fq.gz	19719342	19559522	2652243	2614352	2318675	2245572	99.1895	13.5599	98.5714	88.6902	96.8472	11.3877
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_009_Ex1_L4_2.fq.gz	19719342	19559522	2652243	2614352	2313150	2245572	99.1895	13.5599	98.5714	88.4789	97.0785	11.3877
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_010_Ex1_L4_1.fq.gz	16409405	16270052	2176559	2144285	1880536	1826644	99.1508	13.3777	98.5172	87.6999	97.1342	11.1317
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_010_Ex1_L4_2.fq.gz	16409405	16270052	2176559	2144285	1877211	1826644	99.1508	13.3777	98.5172	87.5448	97.3063	11.1317
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_011_Ex1_L4_1.fq.gz	21646535	21460262	2914768	2872000	2525161	2441604	99.1395	13.5822	98.5327	87.9234	96.691	11.2794
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_011_Ex1_L4_2.fq.gz	21646535	21460262	2914768	2872000	2520841	2441604	99.1395	13.5822	98.5327	87.773	96.8567	11.2794
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_012_Ex1_L4_1.fq.gz	40705078	40354044	5411671	5329337	4655049	4504472	99.1376	13.4105	98.4786	87.3476	96.7653	11.0661
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_012_Ex1_L4_2.fq.gz	40705078	40354044	5411671	5329337	4643385	4504472	99.1376	13.4105	98.4786	87.1288	97.0084	11.0661
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/raw_fq_capture/Tzo-AMvi_013_Ex1_L4_1.fq.gz	31355459	31084785	3993676	3930882	3445206	3344947	99.1368	12.8477	98.4277	87.6446	97.0899	10.6678
