pos	3pG>A
1	0.0195835399107586
2	0.0283468738961498
3	0.0192237141389684
4	0.0194027467262855
5	0.0209233375688268
6	0.0303520114942529
7	0.0329883026171842
8	0.0279527559055118
9	0.026991694863119
10	0.0291504959034066
11	0.021760708559212
12	0.0217034606205251
13	0.0263510848126233
14	0.026397146254459
15	0.0287379260796679
16	0.0283078378804605
17	0.028792470888499
18	0.0272741857853361
19	0.0285369774919614
20	0.0264494798806548
21	0.0264806152382463
22	0.0279948955176264
23	0.0316250405449238
24	0.0290476976398746
25	0.0295498704663212
