Population	total_n_samples	n_<10x	n_10x-20x	n_20x-30x	n_30x-40x	n_40x-50x	n_>50x
Sde-AMar	59	46	10	3	0	0	0
Sde-AMat	90	5	27	38	13	7	0
Sde-CHam	58	56	1	1	0	0	0
Sde-CMat	87	8	18	20	21	14	6
