Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Tbi-ARos_001_Ex1b_L4_clmp.fp2_r1	39.47289901080128	43.0	114.91595141925357	0.0	647911.0						
Tbi-ARos_001_Ex1b_L4_clmp.fp2_r2	40.43044434585323	43.0	115.30414208124265	0.0	647911.0						
Tbi-ARos_001_Ex1b_L4_clmp.r1r2_fastp						44.958	0.900093	134330401.0	0.434569	97.83303284802692	1.356713808130317
Tbi-ARos_002_Ex1b_L4_clmp.fp2_r1	35.407299258404706	38.0	112.07548097209083	0.0	1106769.0						
Tbi-ARos_002_Ex1b_L4_clmp.fp2_r2	36.58505468514343	38.0	112.01612531612288	0.0	1106769.0						
Tbi-ARos_002_Ex1b_L4_clmp.r1r2_fastp						43.261300000000006	0.89992	223303437.0	0.387627	98.50625516219989	1.3376327931417504
Tbi-ARos_003_Ex1b_L4_clmp.fp2_r1	38.52855042948954	37.0	116.6735301254107	0.0	853117.0						
Tbi-ARos_003_Ex1b_L4_clmp.fp2_r2	40.09732176045038	37.0	116.77698017974087	0.0	853117.0						
Tbi-ARos_003_Ex1b_L4_clmp.r1r2_fastp						46.832	0.896271	178599361.0	0.372205	98.58487131989698	1.3613940045969148
Tbi-ARos_004_Ex1b_L4_clmp.fp2_r1	41.63392264562755	44.0	117.54624355567204	0.0	488414.0						
Tbi-ARos_004_Ex1b_L4_clmp.fp2_r2	41.530492687957896	44.0	117.4254751092311	0.0	488414.0						
Tbi-ARos_004_Ex1b_L4_clmp.r1r2_fastp						46.169	0.899588	103304296.0	0.448538	97.83365950295355	1.2499273880323458
Tbi-ARos_005_Ex1b_L4_clmp.fp2_r1	32.924145377719654	39.0	112.84374514872432	0.0	2215912.0						
Tbi-ARos_005_Ex1b_L4_clmp.fp2_r2	34.828065768343464	40.0	112.91773093877374	0.0	2215912.0						
Tbi-ARos_005_Ex1b_L4_clmp.r1r2_fastp						42.4423	0.901178	451041851.0	0.400323	98.58154387675751	1.4197462759076
Tbi-ARos_006_Ex1b_L4_clmp.fp2_r1	38.32314110103383	42.0	117.70704484469093	0.0	1390421.0						
Tbi-ARos_006_Ex1b_L4_clmp.fp2_r2	38.46181945418202	42.0	117.49885394423703	0.0	1390421.0						
