pos	3pG>A
1	0.00705028392153231
2	0.00779454350512352
3	0.00564006321612011
4	0.0066110262680035
5	0.00754437307589981
6	0.010278898662152
7	0.00994732881866065
8	0.00919843443104758
9	0.00960089278523683
10	0.00945430962417781
11	0.00923482104001944
12	0.00904597567511619
13	0.00948580761596429
14	0.00932011060240014
15	0.00964241436471785
16	0.00934316178172701
17	0.00932259251966819
18	0.0100287842098049
19	0.00965274595145446
20	0.00966582956543404
21	0.0103491743709256
22	0.00959144865737006
23	0.0128036476578939
24	0.00973509840608866
25	0.009220578719733
