pos	3pG>A
1	0.0193380786616096
2	0.0283468283114316
3	0.0187520287647632
4	0.0203892871230566
5	0.0196279228537293
6	0.0293891112285736
7	0.0318465992531364
8	0.0278962520658954
9	0.0305210206688039
10	0.0309054268029365
11	0.0235160965794769
12	0.0238476729887841
13	0.0275878645443863
14	0.0270372165670275
15	0.0264952815707631
16	0.0271053873643045
17	0.0269047361005744
18	0.0267538161740825
19	0.0259544247847238
20	0.0267475083502126
21	0.0274142797336899
22	0.0268560678354282
23	0.0269871216471167
24	0.0278523673827269
25	0.0267918416646079
