Sample	Protists_1k	Bacteria_24k	Human	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	36556.0	39278.0	5914.0	2988.0	2287.0	900.0	357.0	207.0	19.0	4.0	2285594.0	1930708.0
SdA01001_CKDL210020579-1a-5UDI301-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	37300.0	38944.0	6064.0	2988.0	2400.0	946.0	391.0	219.0	10.0	0.0	2284842.0	1930708.0
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	165314.0	5376.0	14716.0	2983.0	9816.0	2758.0	1005.0	383.0	39.0	3.0	3289331.0	4367208.0
SdA01002_CKDL210020579-1a-5UDI301-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	165605.0	5385.0	14337.0	2995.0	9677.0	2700.0	979.0	366.0	20.0	0.0	3288874.0	4367994.0
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	49658.0	37418.0	9085.0	1863.0	3800.0	1159.0	497.0	235.0	20.0	6.0	1472130.0	2574432.0
SdA01003_CKDL210020579-1a-5UDI301-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	49953.0	36833.0	9109.0	1846.0	3698.0	1188.0	471.0	250.0	7.0	0.0	1472516.0	2574432.0
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	124550.0	11955.0	13326.0	4193.0	7456.0	2576.0	1075.0	438.0	42.0	3.0	3890371.0	4751798.0
SdA01005_CKDL210020579-1a-5UDI301-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	126658.0	11920.0	13392.0	4110.0	7456.0	2570.0	1017.0	420.0	22.0	0.0	3884896.0	4755322.0
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	47756.0	113790.0	8952.0	1849.0	10852.0	742.0	303.0	227.0	10.0	2.0	1549912.0	1782933.0
SdA01006_CKDL210020579-1a-5UDI301-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	47945.0	113926.0	9006.0	1944.0	10613.0	757.0	281.0	233.0	13.0	0.0	1549677.0	1782933.0
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	70980.0	12388.0	7193.0	2334.0	4236.0	1662.0	655.0	262.0	14.0	0.0	2138356.0	3308585.0
SdA01007_CKDL210020579-1a-5UDI301-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	72135.0	12267.0	7286.0	2330.0	4478.0	1489.0	641.0	256.0	12.0	0.0	2137186.0	3308585.0
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	6498.0	2745.0	795.0	736.0	384.0	197.0	62.0	46.0	1.0	1.0	1220500.0	264227.0
